x,y,z
-1.488042755111593229e-01,1.115225928515085549e-02,9.535749645324120838e-01
-1.490932478779215531e-01,1.128228283426485276e-02,9.600752387287678769e-01
-1.493853091031626390e-01,1.139812080040511835e-02,9.665732736806865733e-01
-1.496778958611125754e-01,1.149740279517487071e-02,9.730707227100162671e-01
-1.499687493116456383e-01,1.157902608349348737e-02,9.795691275306204204e-01
-1.502560515917130135e-01,1.164328500513886998e-02,9.860698019983780149e-01
-1.505384831925331568e-01,1.169172854172603575e-02,9.925737603541977538e-01
-1.508152119227073040e-01,1.172679430599836946e-02,9.990816951860006512e-01
-1.510858345305782779e-01,1.175133211135983430e-02,1.005593998579778381e+00
-1.508909163114686702e-01,1.171084162123536832e-02,1.006191004073927253e+00
-1.497496870279143577e-01,1.158572826929229159e-02,1.001658128302585160e+00
-1.484504027175876095e-01,1.146505217603461732e-02,9.960454177354809424e-01
-1.473198043070586272e-01,1.136372888864128385e-02,9.900972804921488457e-01
-1.464319217132326600e-01,1.128055900303242057e-02,9.839688827894073064e-01
-1.457891317216610805e-01,1.120110572390091083e-02,9.777019020311049635e-01
-1.453711134751321521e-01,1.111806608984891066e-02,9.713173220801181174e-01
-1.451472415585341458e-01,1.102784027792999902e-02,9.648337438870302485e-01
-1.450831547049564185e-01,1.092792243520297919e-02,9.582694729047336324e-01
-1.451449395178859014e-01,1.081780547104804410e-02,9.516418109968145522e-01
-1.453015606178458818e-01,1.069869563691906549e-02,9.449662855928867566e-01
-1.455261553440299338e-01,1.057313763868949520e-02,9.382561971213549956e-01
-1.457965596469763814e-01,1.044462643313955746e-02,9.315224643286261763e-01
-1.460952949732094719e-01,1.031720714905975597e-02,9.247736946156902560e-01
-1.464092132883546560e-01,1.019508044050897004e-02,9.180163966672365561e-01
